blockNumber,errCode,from,gas,gasUsed,timeStamp,epoch,traceId,type,budget_Ether,budget_USD,Ether_to_USD,token_price_Ether,token_price_USD,marketCap_Ether,marketCap_USD_Million
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,132.0,6619.139999999999,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,355.0,17801.475,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,57.6,2888.352,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,20.0,1002.8999999999999,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,6.0,300.87,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,2.0,100.28999999999999,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,1.0,50.144999999999996,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,0.0002,0.010029,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,1.0,50.144999999999996,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,175.0,8775.375,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,6.35,318.42074999999994,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
